Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240613-030517
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: MinMax
Normalisation type for targets: NormStd
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 52.48901844024658 seconds.
Estimated time to finish is 6298.68221282959 seconds.
--------------------------------------------------------------------------------
((2, 15, 0.1, 0), 1.3892954148997247)
((2, 16, 1e-13, 0), 1.4204187884854873)
((2, 16, 1e-15, 0), 1.4204187884854873)
((2, 16, 1e-14, 0), 1.4204187884854873)
((2, 16, 1e-12, 0), 1.420418788485224)
((2, 16, 1e-11, 0), 1.4204187884850892)
((2, 16, 1e-10, 0), 1.4204187884850223)
((2, 16, 1e-09, 0), 1.4204187884828035)
((2, 16, 1e-06, 0), 1.4204187865374416)
((2, 16, 1e-08, 0), 1.420418788465477)
((2, 16, 0.0001, 0), 1.4204185937479428)
((2, 16, 1e-07, 0), 1.4204187882901151)
((2, 16, 1e-05, 0), 1.420418769011128)
((2, 16, 0.001, 0), 1.4204168412634839)
((2, 16, 0.01, 0), 1.4203993311799494)
((2, 16, 0.1, 0), 1.420225694446591)
((2, 17, 1e-14, 0), 1.4539296994294548)
((2, 17, 1e-13, 0), 1.4539296994294548)
((2, 17, 1e-15, 0), 1.4539296994294548)
((2, 17, 1e-12, 0), 1.4539296994293438)
((2, 17, 1e-11, 0), 1.4539296994297382)
((2, 17, 1e-10, 0), 1.4539296994294473)
((2, 17, 1e-09, 0), 1.4539296994273756)
((2, 17, 1e-07, 0), 1.4539296992557886)
((2, 17, 1e-08, 0), 1.45392969941236)
((2, 17, 1e-05, 0), 1.453929682091546)
((2, 17, 1e-06, 0), 1.4539296976954357)
((2, 17, 0.0001, 0), 1.4539295260452485)
((2, 17, 0.001, 0), 1.453927965689146)
((2, 17, 0.1, 0), 1.4537574280814616)
((2, 17, 0.01, 0), 1.453912372115728)
((2, 18, 1e-15, 0), 1.4861514819544799)
((2, 18, 1e-13, 0), 1.4861514819544799)
((2, 18, 1e-14, 0), 1.4861514819544799)
((2, 18, 1e-11, 0), 1.4861514819543005)
((2, 18, 1e-12, 0), 1.4861514819544428)
((2, 18, 1e-10, 0), 1.486151481954017)
((2, 18, 1e-08, 0), 1.4861514819387331)
((2, 18, 1e-07, 0), 1.486151481795949)
((2, 18, 1e-06, 0), 1.4861514803700093)
((2, 18, 1e-09, 0), 1.486151481952713)
((2, 18, 1e-05, 0), 1.4861514661091069)
((2, 18, 0.0001, 0), 1.4861513234992636)
((2, 18, 0.001, 0), 1.486149897472521)
((2, 18, 0.01, 0), 1.48613564413059)
((2, 18, 0.1, 0), 1.485993799089627)
((2, 19, 1e-15, 0), 1.5155665122012454)
((2, 19, 1e-14, 0), 1.5155665122012454)
((2, 19, 1e-13, 0), 1.5155665122012454)
((2, 19, 1e-12, 0), 1.5155665122007638)
((2, 19, 1e-11, 0), 1.515566512200995)
((2, 19, 1e-10, 0), 1.5155665122008877)
((2, 19, 1e-09, 0), 1.5155665121993915)
((2, 19, 1e-08, 0), 1.5155665121860618)
((2, 19, 1e-06, 0), 1.5155665107193463)
((2, 19, 1e-07, 0), 1.5155665120528408)
((2, 19, 1e-05, 0), 1.515566497385557)
((2, 19, 0.001, 0), 1.515565030725511)
((2, 19, 0.1, 0), 1.5154189125454998)
((2, 19, 0.01, 0), 1.5155517024530765)
((2, 19, 0.0001, 0), 1.5155663640486405)
((2, 20, 1e-15, 0), 1.5449818217399653)
((2, 20, 1e-14, 0), 1.5449818217399653)
((2, 20, 1e-13, 0), 1.5449818217399653)
((2, 20, 1e-12, 0), 1.5449818217405054)
((2, 20, 1e-10, 0), 1.5449818217401214)
((2, 20, 1e-11, 0), 1.5449818217401083)
((2, 20, 1e-07, 0), 1.5449818215958824)
((2, 20, 1e-09, 0), 1.5449818217383844)
((2, 20, 1e-08, 0), 1.5449818217259252)
((2, 20, 1e-05, 0), 1.544981807334097)
((2, 20, 1e-06, 0), 1.5449818202996162)
((2, 20, 0.0001, 0), 1.5449816776781944)
((2, 20, 0.001, 0), 1.5449803811531586)
