Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240612-124703
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: MinMax
Normalisation type for targets: None
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 67.67242097854614 seconds.
Estimated time to finish is 8120.690517425537 seconds.
--------------------------------------------------------------------------------
((2, 33, 1e-12, 0), nan)
((2, 33, 1e-11, 0), nan)
((2, 33, 1e-10, 0), nan)
((2, 33, 1e-14, 0), nan)
((2, 33, 1e-08, 0), nan)
((2, 33, 1e-09, 0), nan)
((2, 33, 1e-06, 0), nan)
((2, 33, 1e-05, 0), nan)
((2, 33, 0.0001, 0), nan)
((2, 33, 1e-07, 0), nan)
((2, 33, 0.01, 0), nan)
((2, 33, 0.001, 0), nan)
((2, 34, 1e-13, 0), nan)
((2, 34, 1e-15, 0), nan)
((2, 34, 1e-12, 0), nan)
((2, 34, 1e-14, 0), nan)
((2, 33, 0.1, 0), nan)
((2, 34, 1e-11, 0), nan)
((2, 34, 1e-10, 0), nan)
((2, 34, 1e-09, 0), nan)
((2, 34, 1e-06, 0), nan)
((2, 34, 1e-08, 0), nan)
((2, 34, 1e-05, 0), nan)
((2, 34, 1e-07, 0), nan)
((2, 34, 0.001, 0), nan)
((2, 34, 0.01, 0), nan)
((2, 34, 0.0001, 0), nan)
((2, 35, 1e-15, 0), nan)
((2, 34, 0.1, 0), nan)
((2, 35, 1e-14, 0), nan)
((2, 35, 1e-13, 0), nan)
((2, 35, 1e-12, 0), nan)
((2, 35, 1e-11, 0), nan)
((2, 35, 1e-10, 0), nan)
((2, 35, 1e-09, 0), nan)
((2, 35, 1e-08, 0), nan)
((2, 35, 1e-07, 0), nan)
((2, 35, 1e-06, 0), nan)
((2, 35, 1e-05, 0), nan)
((2, 35, 0.0001, 0), nan)
((2, 35, 0.001, 0), nan)
((2, 35, 0.01, 0), nan)
((2, 36, 1e-12, 0), nan)
((2, 36, 1e-14, 0), nan)
((2, 36, 1e-15, 0), nan)
((2, 36, 1e-13, 0), nan)
((2, 36, 1e-11, 0), nan)
((2, 35, 0.1, 0), nan)
((2, 36, 1e-08, 0), nan)
((2, 36, 1e-07, 0), nan)
((2, 36, 1e-09, 0), nan)
((2, 36, 1e-06, 0), nan)
((2, 36, 0.0001, 0), nan)
((2, 36, 1e-10, 0), nan)
((2, 36, 0.001, 0), nan)
((2, 36, 1e-05, 0), nan)
((2, 36, 0.01, 0), nan)
((2, 36, 0.1, 0), nan)
((2, 37, 1e-15, 0), nan)
((2, 37, 1e-13, 0), nan)
((2, 37, 1e-14, 0), nan)
((2, 37, 1e-11, 0), nan)
((2, 37, 1e-10, 0), nan)
((2, 37, 1e-08, 0), nan)
((2, 37, 1e-09, 0), nan)
((2, 37, 1e-12, 0), nan)
((2, 37, 1e-05, 0), nan)
((2, 37, 1e-06, 0), nan)
((2, 37, 1e-07, 0), nan)
((2, 37, 0.001, 0), nan)
((2, 37, 0.0001, 0), nan)
((2, 37, 0.01, 0), nan)
((2, 37, 0.1, 0), nan)
((2, 38, 1e-14, 0), nan)
((2, 38, 1e-15, 0), nan)
((2, 38, 1e-11, 0), nan)
((2, 38, 1e-13, 0), nan)
((2, 38, 1e-09, 0), nan)
((2, 38, 1e-12, 0), nan)
((2, 38, 1e-10, 0), nan)
((2, 38, 1e-07, 0), nan)
((2, 38, 1e-08, 0), nan)
((2, 38, 1e-06, 0), nan)
((2, 38, 1e-05, 0), nan)
