Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-072448
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: NormStd
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 12.282181978225708 seconds.
Estimated time to finish is 147.3861837387085 seconds.
--------------------------------------------------------------------------------
((0.4, 0.1, 1e-06, 100), 0.9878556335643512)
((0.4, 0.1, 1e-05, 100), 0.9887938128211579)
((0.4, 0.1, 1e-13, 100), 1.5171476521227913)
((0.4, 0.2, 1e-14, 100), 1.3825335245076538)
((0.4, 0.2, 1e-12, 100), 1.3825329774733146)
((0.4, 0.1, 0.01, 100), 1.152478636933052)
((0.4, 0.1, 0.1, 100), 1.14300851536836)
((0.4, 0.2, 1e-09, 100), 1.3819815729897884)
((0.4, 0.2, 1e-06, 100), 1.1771073974240218)
((0.4, 0.2, 1e-08, 100), 1.3771200965428227)
((0.4, 0.2, 1e-07, 100), 1.336735796437093)
((0.4, 0.2, 1e-05, 100), 0.9925697706281607)
((0.4, 0.2, 1e-11, 100), 1.3825279984680012)
((0.4, 0.2, 1e-15, 100), 1.3825335306209738)
((0.4, 0.3, 1e-15, 100), 1.3213268326745926)
((0.4, 0.2, 1e-13, 100), 1.3825334754451153)
((0.4, 0.3, 1e-14, 100), 1.3213268319926355)
((0.4, 0.2, 0.0001, 100), 0.9634510036170054)
((0.4, 0.3, 1e-13, 100), 1.32132682545798)
((0.4, 0.2, 1e-10, 100), 1.3824782237477924)
((0.4, 0.2, 0.001, 100), 1.0723794210584257)
((0.4, 0.2, 0.01, 100), 1.1452940179078475)
((0.4, 0.2, 0.1, 100), 1.1457150826642593)
((0.4, 0.3, 1e-09, 100), 1.3212540875007648)
((0.4, 0.3, 1e-08, 100), 1.3206013161659276)
((0.4, 0.3, 1e-10, 100), 1.3213195562268745)
((0.4, 0.3, 1e-06, 100), 1.2643220067298597)
((0.4, 0.3, 1e-11, 100), 1.3213261051682452)
((0.4, 0.3, 1e-12, 100), 1.3213267598204355)
((0.4, 0.3, 1e-05, 100), 1.097280106631993)
((0.4, 0.3, 0.0001, 100), 0.9571950683027366)
