Estimator: NGRC
Total number of parameters: 480
Time started: 20240615-143133
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: None
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 0.03269457817077637 seconds.
Estimated time to finish is 7.846698760986328 seconds.
--------------------------------------------------------------------------------
((6, 2, 0.001, 0, True), nan)
((6, 2, 0.01, 0, True), nan)
((6, 2, 0.1, 0, True), nan)
((5, 4, 1e-12, 0, True), nan)
((5, 4, 1e-10, 0, True), nan)
((6, 2, 1e-11, 0, True), nan)
((5, 4, 1e-08, 0, True), nan)
((5, 4, 1e-07, 0, True), nan)
((5, 4, 0.001, 0, True), 0.07209890420294171)
((5, 4, 0.01, 0, True), 0.06062726236719722)
((4, 5, 0.0001, 0, True), nan)
((5, 4, 0.0001, 0, True), nan)
((6, 3, 1e-14, 0, True), nan)
((6, 3, 1e-13, 0, True), nan)
((6, 3, 1e-11, 0, True), nan)
((6, 3, 1e-10, 0, True), nan)
((5, 4, 0.1, 0, True), nan)
((5, 4, 1e-14, 0, True), nan)
((5, 4, 1e-13, 0, True), nan)
((6, 3, 1e-09, 0, True), nan)
((5, 4, 1e-09, 0, True), nan)
((6, 3, 1e-08, 0, True), nan)
((6, 3, 1e-07, 0, True), nan)
((6, 3, 1e-05, 0, True), nan)
((6, 3, 0.001, 0, True), 0.05898607887200269)
((6, 3, 1e-06, 0, True), nan)
((6, 3, 0.0001, 0, True), nan)
((6, 3, 0.01, 0, True), 0.06917807175200466)
((6, 3, 0.1, 0, True), 0.5114457087114156)
((4, 5, 1e-06, 0, True), nan)
((6, 3, 1e-15, 0, True), nan)
((6, 3, 1e-12, 0, True), nan)
((5, 4, 1e-15, 0, True), nan)
((5, 4, 1e-11, 0, True), nan)
((5, 4, 1e-06, 0, True), nan)
((5, 4, 1e-05, 0, True), nan)
((7, 2, 1e-15, 0, True), nan)
((7, 2, 1e-12, 0, True), nan)
((7, 2, 1e-14, 0, True), nan)
((7, 2, 1e-13, 0, True), nan)
((5, 5, 1e-15, 0, True), nan)
((5, 5, 1e-13, 0, True), nan)
((5, 5, 1e-14, 0, True), nan)
((5, 5, 1e-10, 0, True), nan)
((7, 2, 1e-11, 0, True), nan)
((5, 5, 1e-11, 0, True), nan)
