Estimator: Volterra
Total number of parameters: 1215
Time started: 20240613-083756
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 22.753965377807617 seconds.
Estimated time to finish is 273.0475845336914 seconds.
--------------------------------------------------------------------------------
((0.2, 0.5, 1e-14, 100), 1.5409013124039246e+20)
((0.2, 0.3, 1e-12, 100), 0.0862334575618473)
((0.2, 0.3, 1e-14, 100), 156.68564571543934)
((0.2, 0.4, 1e-14, 100), 9.583747907363175e+23)
((0.2, 0.4, 1e-15, 100), 178.0199527718741)
((0.2, 0.5, 1e-10, 100), 0.0006642099340270886)
((0.2, 0.5, 1e-09, 100), 0.00015368509523707715)
((0.2, 0.5, 1e-07, 100), 0.27152396377504595)
((0.2, 0.5, 1e-06, 100), 0.9836778011697107)
((0.2, 0.5, 1e-08, 100), 0.020484435092355695)
((0.2, 0.5, 1e-05, 100), 7.794278412905637)
((0.2, 0.5, 0.01, 100), 60.59076379929759)
((0.2, 0.5, 0.0001, 100), 62.02539809621098)
((0.2, 0.5, 0.001, 100), 50.16480903731494)
((0.2, 0.5, 0.1, 100), 100.7150306971747)
((0.2, 0.6, 0.01, 100), 57.944943211038286)
((0.2, 0.6, 1e-05, 100), 4.437756422577728)
((0.2, 0.6, 1e-12, 100), 0.3239392784079766)
((0.2, 0.6, 1e-10, 100), 0.0014770962331340733)
((0.2, 0.6, 0.1, 100), 102.90658713133261)
((0.2, 0.6, 0.001, 100), 47.64573921489566)
((0.2, 0.6, 0.0001, 100), 61.04496749600714)
((0.2, 0.7, 1e-09, 100), 0.008659129655005605)
((0.2, 0.6, 1e-06, 100), 1.1131291090410225)
((0.2, 0.7, 1e-07, 100), 0.12593816704046143)
((0.2, 0.7, 0.01, 100), 57.05587197384379)
((0.2, 0.7, 1e-10, 100), 0.0030328929233834844)
((0.2, 0.6, 1e-13, 100), 21.366263354216777)
((0.2, 0.6, 1e-11, 100), 0.0017100736427550138)
((0.2, 0.7, 1e-05, 100), 4.113236192526859)
((0.2, 0.6, 1e-15, 100), 143.7196185378554)
((0.2, 0.7, 1e-13, 100), 14.827531275010626)
((0.2, 0.6, 1e-07, 100), 0.1878851192859348)
((0.2, 0.7, 1e-08, 100), 0.0014087551644690745)
((0.2, 0.6, 1e-08, 100), 0.00452247607905953)
((0.2, 0.7, 0.1, 100), 103.77029540996836)
((0.2, 0.8, 1e-10, 100), 0.007126044888911748)
((0.2, 0.8, 1e-13, 100), 0.7434499944073201)
((0.2, 0.7, 0.0001, 100), 61.70030077169364)
((0.2, 0.7, 1e-11, 100), 0.012743172108225608)
((0.2, 0.7, 0.001, 100), 41.046589469392636)
((0.2, 0.8, 1e-09, 100), 0.02572390811222489)
((0.2, 0.6, 1e-09, 100), 0.002391595371383)
((0.2, 0.8, 1e-07, 100), 0.10629347011890748)
((0.2, 0.7, 1e-12, 100), 1.048551664027731)
((0.2, 0.8, 1e-08, 100), 0.009730620846548363)
((0.2, 0.7, 1e-06, 100), 1.1924189461203198)
((0.2, 0.7, 1e-14, 100), 3.4279998381419387e+21)
((0.2, 0.8, 1e-06, 100), 1.3053165360579735)
((0.2, 0.6, 1e-14, 100), 4.7930639750664685e+26)
((0.2, 0.8, 1e-12, 100), 0.5206033017168)
((0.2, 0.7, 1e-15, 100), 265.8272173217759)
((0.2, 0.8, 1e-11, 100), 0.018684726317562846)
((0.2, 0.8, 1e-14, 100), 1.6783302146444459e+24)
((0.2, 0.8, 1e-15, 100), 67.26618416609898)
((0.2, 0.8, 1e-05, 100), 5.219146156922452)
((0.2, 0.8, 0.0001, 100), 64.46559505057996)
((0.2, 0.8, 0.001, 100), 39.52552945564298)
((0.2, 0.8, 0.01, 100), 59.18267838555994)
((0.2, 0.8, 0.1, 100), 103.5486235799342)
((0.2, 0.9, 1e-15, 100), 104.08850026329976)
((0.2, 0.9, 1e-12, 100), 0.0011426660447948899)
((0.2, 0.9, 0.0001, 100), 76.84550041134361)
((0.2, 0.9, 1e-05, 100), 10.117624729420607)
((0.3, 0.1, 0.001, 100), 110.3979537328754)
((0.2, 0.9, 1e-09, 100), 0.08392026655403315)
((0.2, 0.9, 1e-11, 100), 0.0013630748571961673)
((0.2, 0.9, 1e-13, 100), 13.04398895925013)
((0.2, 0.9, 1e-10, 100), 0.01874025939051254)
((0.2, 0.9, 1e-07, 100), 0.14762828038106585)
((0.3, 0.1, 0.1, 100), 94.93251848852418)
