Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-091137
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 11.880665063858032 seconds.
Estimated time to finish is 142.5679807662964 seconds.
--------------------------------------------------------------------------------
((0.2, 0.9, 1e-10, 100), 6.553570882607265e+17)
((0.2, 0.9, 1e-14, 100), 9.241068739429276e+22)
((0.3, 0.1, 1e-13, 100), 5.81910854917739e+25)
((0.2, 0.9, 0.001, 100), 0.05926709648143604)
((0.2, 0.9, 0.0001, 100), 0.06517964789608907)
((0.3, 0.1, 1e-12, 100), 4798626870768.916)
((0.3, 0.1, 0.01, 100), 0.051936765242195315)
((0.2, 0.9, 0.1, 100), 0.051469787259087775)
((0.3, 0.1, 1e-08, 100), 0.05301307336129775)
((0.2, 0.9, 1e-05, 100), 0.05948979437845035)
((0.2, 0.9, 1e-06, 100), 0.05603857289582224)
((0.3, 0.1, 1e-11, 100), 0.06291775709348382)
((0.2, 0.9, 0.01, 100), 0.052786807094384026)
((0.3, 0.1, 1e-09, 100), 0.04661492563179043)
((0.2, 0.9, 1e-09, 100), 779512418341769.0)
((0.3, 0.1, 1e-10, 100), 0.060578073035205904)
((0.3, 0.1, 0.0001, 100), 0.04947836566747852)
((0.2, 0.9, 1e-15, 100), 7.776784631105164e+24)
((0.3, 0.1, 1e-07, 100), 0.09793195698415516)
((0.3, 0.1, 1e-06, 100), 0.052290854940817345)
((0.3, 0.2, 1e-13, 100), 7.202019090226701e+23)
((0.3, 0.1, 0.1, 100), 0.0507751297182988)
((0.3, 0.2, 0.01, 100), 0.05228031335440011)
((0.3, 0.1, 1e-05, 100), 0.05015254688939972)
((0.3, 0.2, 0.0001, 100), 0.04774900954864579)
((0.3, 0.2, 1e-12, 100), 1.9517321040948327e+21)
((0.3, 0.2, 1e-08, 100), 0.044654249674397295)
((0.3, 0.2, 1e-11, 100), 187697104162245.06)
((0.3, 0.2, 0.001, 100), 0.051420884948375344)
((0.3, 0.2, 1e-07, 100), 0.07423541900327787)
((0.3, 0.1, 1e-14, 100), 1.4522421283752625e+30)
((0.3, 0.2, 1e-06, 100), 0.07968585238851769)
((0.3, 0.2, 1e-10, 100), 287317619664784.2)
((0.3, 0.2, 0.1, 100), 0.05134751011473693)
((0.3, 0.2, 1e-09, 100), 413610949555482.25)
((0.3, 0.2, 1e-14, 100), 8.541994359678471e+25)
((0.3, 0.1, 0.001, 100), 0.05181078705184762)
((0.3, 0.1, 1e-15, 100), 1.3508219797998296e+26)
((0.3, 0.2, 1e-05, 100), 0.05009511642337544)
((0.3, 0.2, 1e-15, 100), 4.9734529055969475e+25)
((0.3, 0.3, 1e-13, 100), 3.7949827531751765e+20)
((0.3, 0.3, 1e-12, 100), 4.617021776236746e+20)
((0.3, 0.3, 1e-11, 100), 1.065590182667602e+19)
((0.3, 0.3, 0.0001, 100), 0.04881389116025006)
((0.3, 0.3, 0.001, 100), 0.05093194479825015)
((0.3, 0.4, 0.01, 100), 0.05308647440375193)
